id,is_male,is_white,is_police_officer,age,resignation_date,complaint_risk,civilian_allegation_risk,current_salary,major_award_count,in_district,in_district_total_population,in_district_black_proportion,in_district_allegation_count,in_district_police_population,in_district_misconduct_rate,in_district_police_white,in_district_police_female
8069,0,0,1,53,,1,1,90024,1,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
18251,1,1,1,52,,1,1,93354,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
27972,0,1,1,48,,0,0,76266,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
31287,1,1,0,47,,1,1,104628,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
31735,0,1,1,40,,1,1,87006,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
31481,1,0,1,45,,1,1,87006,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
874,1,0,1,38,,1,1,84054,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
14996,1,1,1,46,,1,1,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
16820,0,1,0,45,,1,1,97440,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
21326,1,1,1,38,,1,1,87006,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
10824,1,1,1,49,,1,1,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
3642,1,0,1,51,,1,2,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
23340,1,1,1,45,,1,1,84054,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
16124,1,1,0,60,,1,1,107988,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
13079,0,0,0,58,,1,1,111474,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
5818,1,0,1,49,,1,1,87006,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
15758,1,0,1,52,,0,1,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
12025,1,0,0,53,,1,1,104628,1,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
18549,1,1,0,39,,0,0,76266,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
23192,1,0,0,40,,1,2,101442,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
4136,1,1,1,53,,1,1,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
7578,1,0,1,37,,1,1,84054,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
9936,0,1,1,32,,0,0,72510,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
22540,1,1,0,63,,1,1,104628,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
6011,1,1,1,53,,1,1,93354,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
17300,1,1,0,53,,1,1,104628,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
16952,1,1,0,51,,1,1,104628,1,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
2769,1,1,0,54,,1,1,132876,1,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
1384,0,0,1,47,,0,0,84054,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
207,1,0,1,49,,0,0,84054,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
14550,1,0,1,42,,0,0,84054,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
18754,1,1,0,50,,1,1,107988,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
4240,0,1,1,54,,1,1,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
5554,1,1,0,56,,1,2,104628,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
16945,1,0,0,47,,1,2,104628,1,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
25016,1,1,0,62,,1,1,136170,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
9164,1,1,1,51,,1,1,87006,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
1288,1,1,0,62,,1,2,107988,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
23510,1,0,1,66,,1,1,93354,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
29347,1,1,0,43,,1,2,101442,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
18131,0,0,1,49,,1,1,84054,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
15351,0,1,0,49,,1,1,107988,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
26581,1,1,1,40,,1,1,87006,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
12351,1,1,1,35,,0,0,80016,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
30587,1,1,0,52,,1,1,107988,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
1370,1,1,0,49,,1,1,107988,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
19738,1,1,1,39,,1,1,87006,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
27973,1,1,0,61,,1,1,107988,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
36,1,1,1,41,,0,0,76266,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
2977,0,1,0,67,,0,0,104628,1,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
28156,0,1,1,40,,1,1,84054,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
19470,0,0,1,43,,0,1,87006,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
26516,1,1,0,51,,1,1,107988,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
7815,1,1,1,69,,1,1,85278,0,23,62781,0.2143,13617,259,0.8375,0.8185,0.1158
